restaurantid,customerId,total,is_delivery,dateoforder
601,215,837.35,true,2024-08-16
816,39,1826.97,true,2021-12-17
731,83,731.9,true,2021-01-02
539,420,1796.79,true,2022-10-07
585,73,1133.92,true,2022-09-28
725,24,401.94,false,2021-07-30
851,22,1244.39,false,2020-03-31
574,439,987.51,true,2020-11-15
609,330,1280.44,false,2021-12-30
568,216,50.24,false,2024-06-25
615,330,460.8,false,2023-08-28
774,65,340.27,true,2022-09-23
990,425,6.29,true,2020-02-22
790,431,1235.35,true,2023-04-28
641,279,1185.2,false,2019-09-26
641,329,206.29,true,2023-03-27
818,270,325.02,true,2020-10-03
733,198,1769.52,false,2024-10-25
1006,389,1919.3,true,2020-12-23
537,349,1582.02,true,2023-06-14
764,460,1913.48,false,2019-03-02
944,226,707.8,true,2019-04-09
986,390,1704.75,true,2021-03-28
832,380,808.54,true,2024-06-08
668,89,1555.88,false,2020-07-27
648,392,689.08,true,2019-03-13
864,256,348.37,false,2020-07-19
567,435,1339.5,false,2019-11-08
656,493,1533.93,false,2021-01-20
988,228,29.22,true,2021-07-29
519,52,1049.55,true,2019-10-01
676,431,1785.07,true,2021-07-03
934,89,863.06,true,2024-10-04
999,123,1132.59,true,2019-05-21
710,266,1375.52,false,2024-09-06
991,186,333.04,false,2019-04-15
1006,465,748.45,true,2020-08-20
897,160,110.91,true,2021-12-15
837,350,1490.93,false,2023-02-13
942,150,1638.97,false,2023-01-22
972,374,406.15,false,2019-02-07
531,82,1312.93,false,2022-02-25
521,255,1992.33,false,2024-07-20
998,81,465.26,true,2024-03-18
900,364,1480.83,false,2019-10-31
551,261,480.86,false,2023-04-24
966,161,683.49,false,2023-12-17
580,165,415.8,false,2021-11-11
512,199,1819.13,true,2024-10-30
633,364,1176.06,true,2019-06-06
703,71,1181.99,false,2024-04-27
946,46,26.89,false,2020-10-30
560,291,412.25,true,2024-02-09
678,452,574.53,true,2021-06-22
737,179,307.09,false,2021-01-13
552,382,310.4,false,2020-02-16
819,391,1425.09,false,2022-07-28
512,499,716.29,true,2022-04-09
882,375,1002.72,true,2020-02-19
590,483,559.38,false,2024-08-09
970,251,616.33,false,2022-03-09
548,323,287.04,false,2023-09-23
725,418,1881.31,true,2022-08-17
807,404,807.37,true,2022-12-30
771,69,390.68,false,2019-12-14
726,28,370.45,true,2023-03-07
533,341,148.01,false,2021-11-16
564,324,266.49,true,2024-04-05
566,321,1391.57,true,2024-06-22
594,421,26.36,false,2022-04-01
609,323,473.06,true,2021-12-24
647,293,770.65,true,2021-02-01
685,34,1500.31,false,2021-10-09
681,408,372.02,true,2023-06-20
901,79,1617.89,false,2024-05-29
941,306,1552.32,true,2022-08-06
954,31,1980.32,false,2024-06-06
970,1,531.38,true,2022-11-04
667,446,364.18,false,2020-04-24
982,16,62.82,true,2021-01-29
980,354,1973.09,false,2024-09-20
584,269,481.11,true,2022-08-12
645,287,619.85,true,2019-08-30
979,427,1951.7,false,2020-05-06
657,18,572.94,false,2024-06-12
680,274,1294.42,true,2021-01-25
769,48,1776.95,true,2019-08-23
750,152,292.63,true,2019-03-29
731,392,678.75,false,2023-03-21
923,248,1889.0,true,2022-02-04
965,93,1390.31,false,2019-09-22
755,276,1394.69,true,2023-08-19
673,460,1478.06,false,2020-04-01
734,8,547.44,true,2019-04-23
865,188,1724.13,false,2024-01-17
551,287,860.38,false,2021-09-14
678,90,1326.03,true,2024-04-29
692,324,1349.09,true,2024-06-17
861,410,645.96,false,2022-02-22
580,440,1999.18,true,2023-11-11
950,184,1566.96,false,2022-01-19
842,24,53.11,true,2023-11-09
587,349,1881.27,false,2020-10-20
911,446,953.14,false,2024-03-02
883,50,114.58,false,2019-03-01
940,155,540.47,false,2020-10-30
853,15,157.32,true,2020-03-23
519,446,1092.07,true,2022-07-14
761,119,1481.97,false,2024-04-30
636,141,641.44,false,2021-06-18
814,437,136.47,false,2019-11-13
727,197,301.47,true,2021-10-15
810,306,83.15,true,2020-08-25
586,236,1303.46,false,2020-10-24
974,461,1289.19,true,2021-11-22
947,168,1320.44,false,2021-10-09
537,456,1025.67,false,2018-12-17
912,106,1150.73,false,2024-03-09
857,423,1663.75,false,2019-04-21
679,287,852.07,true,2020-01-26
875,484,796.44,true,2020-12-19
596,490,886.96,true,2024-01-24
805,73,323.48,false,2022-01-29
568,70,1371.81,false,2024-05-25
718,389,677.86,false,2024-11-28
715,485,1511.78,true,2019-08-24
562,59,541.14,true,2024-03-18
991,248,1697.89,true,2021-03-27
853,83,1595.09,true,2020-05-31
662,284,428.03,false,2023-10-17
525,478,1665.67,true,2023-03-04
824,361,1621.23,true,2024-10-06
594,402,1603.61,false,2020-07-05
844,376,1077.97,true,2018-12-19
746,126,1869.63,true,2020-09-25
978,66,1387.34,true,2024-06-10
653,427,804.83,false,2024-06-03
731,251,1484.34,false,2023-08-22
510,478,656.56,false,2024-06-24
696,61,279.28,true,2022-10-19
925,482,742.64,false,2021-02-05
705,361,1064.47,false,2023-07-11
817,237,1753.56,true,2022-02-28
569,117,1055.31,false,2021-11-21
991,11,1052.97,true,2024-03-25
796,283,963.45,false,2020-09-23
900,28,1831.88,true,2023-08-21
645,227,1789.21,false,2024-03-11
819,118,1087.44,true,2021-07-29
960,15,853.35,true,2023-10-19
722,326,1271.24,false,2020-12-26
603,136,994.58,true,2021-04-06
745,392,947.6,false,2023-12-08
818,177,1230.53,true,2019-08-13
838,408,1647.88,true,2019-08-01
559,259,546.5,true,2024-08-12
668,475,37.93,true,2020-06-15
813,248,672.77,false,2022-10-29
630,286,1259.16,false,2023-04-29
699,454,1345.58,true,2024-10-30
697,2,297.88,false,2023-03-03
649,233,552.34,true,2023-05-27
696,431,1758.27,true,2021-05-12
789,178,81.66,true,2019-01-13
724,51,1871.5,true,2024-04-11
579,450,1126.51,true,2019-05-16
685,448,1169.22,true,2024-01-22
713,264,1743.48,false,2019-04-26
975,369,739.89,true,2021-04-24
562,100,4.94,true,2019-09-24
855,255,522.41,true,2023-07-14
668,459,1857.53,true,2019-08-20
959,44,558.35,true,2024-11-26
942,145,1193.75,false,2018-12-30
715,219,1348.34,false,2021-12-08
545,499,916.99,false,2020-11-08
612,339,1859.81,true,2023-11-23
663,394,6.56,false,2019-07-15
735,281,656.97,true,2020-02-26
636,443,183.32,true,2024-03-21
753,474,629.08,true,2023-11-28
693,190,1417.79,true,2023-06-26
800,248,1983.1,true,2024-07-09
744,469,37.85,false,2021-06-03
715,110,767.2,false,2019-08-13
774,297,1147.75,true,2021-12-01
800,100,67.9,false,2022-04-06
625,19,1156.94,false,2019-09-27
856,344,866.64,false,2023-03-19
892,170,1022.5,true,2022-06-08
905,398,1641.06,true,2020-12-30
679,369,1100.01,false,2024-04-25
904,422,9.72,true,2024-09-20
906,484,204.53,false,2024-07-21
764,82,43.44,true,2019-11-20
834,43,1141.94,false,2020-12-15
714,156,509.62,true,2023-04-21
709,370,459.7,true,2019-12-18
798,224,1028.71,true,2020-07-28
601,468,781.29,true,2019-09-04
738,194,163.83,false,2023-04-29
573,33,1348.19,true,2020-06-07
943,260,1100.75,false,2020-05-13
695,385,937.64,false,2018-12-22
708,451,693.94,false,2023-09-16
907,415,132.82,true,2022-10-10
615,444,1279.53,true,2022-01-24
998,84,332.41,false,2019-02-01
894,386,749.56,false,2021-07-31
912,277,1730.77,false,2019-09-28
645,239,1601.36,false,2019-05-30
904,297,189.6,false,2023-11-15
800,341,54.77,false,2021-12-03
564,233,1921.54,true,2021-10-14
729,446,604.42,false,2021-12-18
998,358,12.67,false,2023-07-10
554,393,503.01,false,2022-07-28
726,373,846.02,true,2024-05-30
509,407,990.5,false,2019-07-21
794,131,788.16,true,2023-06-18
971,12,927.99,true,2023-10-22
628,296,1185.57,false,2024-07-19
1003,167,1833.55,true,2023-01-28
624,332,968.98,false,2023-02-09
760,114,848.6,true,2023-04-21
657,138,1654.65,true,2023-10-29
863,295,1452.98,false,2020-11-16
950,36,174.49,false,2022-06-15
686,305,1859.15,true,2020-10-27
546,303,1933.67,true,2020-05-30
914,68,219.14,true,2021-03-04
1002,329,1013.23,true,2021-09-09
824,411,1635.21,true,2022-02-06
527,212,28.82,true,2024-03-03
986,29,233.84,false,2022-04-05
766,400,1937.99,false,2020-08-01
946,191,1964.93,false,2024-10-16
745,144,1634.19,false,2019-11-11
1004,177,133.63,false,2019-10-14
939,449,1507.43,true,2019-06-28
743,438,1399.65,true,2020-08-06
788,119,816.71,false,2021-07-10
883,332,1519.72,true,2024-06-06
988,291,201.92,true,2022-08-03
779,343,1729.23,true,2022-08-03
808,367,1513.13,true,2024-05-26
655,44,801.35,true,2022-03-24
887,457,227.52,true,2020-12-09
889,100,797.18,true,2024-03-24
960,291,756.83,false,2023-07-01
955,138,1963.21,true,2019-12-26
800,353,1496.36,true,2022-06-25
598,365,17.01,true,2020-04-04
577,78,1602.7,false,2019-08-03
630,208,459.03,true,2022-06-07
544,193,161.43,false,2019-12-17
863,129,26.52,false,2020-08-20
608,396,583.92,false,2021-09-04
678,185,348.93,false,2021-01-26
536,87,988.06,true,2023-07-03
612,330,331.12,true,2021-08-30
530,270,1360.15,true,2024-07-03
650,149,1309.23,false,2020-04-22
779,78,1253.24,false,2019-03-09
681,138,64.59,true,2023-04-21
957,410,1945.3,true,2021-03-29
745,11,380.04,false,2023-01-03
823,306,1754.27,false,2021-12-23
522,28,381.77,true,2024-09-14
625,358,524.43,true,2023-08-08
919,213,1100.04,false,2024-02-27
876,29,1846.84,false,2021-01-26
884,214,1851.59,false,2024-06-02
911,31,1134.88,true,2020-08-22
918,209,1.73,false,2022-06-14
907,472,836.41,true,2024-05-07
707,399,1576.44,false,2022-08-08
928,425,1874.68,false,2023-01-18
550,253,1007.85,true,2021-02-13
850,267,1115.89,true,2020-03-08
528,92,1849.92,true,2019-07-18
880,260,1816.24,true,2021-10-21
950,123,1254.87,false,2020-12-29
907,323,346.46,true,2020-10-09
837,304,1639.4,true,2024-09-01
554,302,450.05,false,2022-02-03
549,255,417.93,false,2022-08-09
806,244,1308.63,false,2023-04-08
897,236,3.82,false,2021-02-10
598,318,664.32,false,2023-04-08
875,384,651.16,true,2022-06-17
836,199,637.46,true,2022-07-13
964,296,1598.47,false,2019-01-10
910,350,1988.35,false,2019-10-20
965,484,796.93,false,2021-11-08
915,331,415.54,false,2023-07-08
530,395,1719.75,false,2021-10-19
722,221,1435.76,true,2021-03-28
983,38,750.98,true,2022-01-14
598,72,1974.41,true,2022-07-11
962,220,1133.39,true,2022-09-08
527,135,329.0,true,2022-03-14
852,157,1354.14,false,2021-02-14
950,461,1986.74,false,2022-03-07
514,145,1574.49,false,2023-09-07
539,332,1069.13,false,2019-09-19
994,151,832.25,false,2023-02-13
836,49,1507.47,false,2021-10-21
907,191,1503.36,false,2023-10-03
963,103,1221.38,true,2020-02-28
808,133,1445.38,true,2024-11-07
861,293,585.38,false,2019-12-06
543,17,1689.2,false,2024-03-22
928,121,1890.28,true,2022-08-07
829,117,486.41,true,2022-07-16
842,480,1892.74,true,2022-12-26
729,225,949.63,true,2022-08-11
878,261,669.61,true,2022-07-04
630,282,1156.49,true,2024-02-27
915,369,1687.74,false,2019-11-15
540,467,1442.48,false,2024-10-09
791,1,883.4,false,2022-10-22
679,314,828.13,false,2024-03-03
628,406,1250.97,false,2020-04-27
797,28,1222.18,false,2019-11-16
963,483,1805.9,true,2024-03-06
800,126,708.25,false,2022-03-27
947,252,900.04,true,2019-01-24
745,175,1143.73,true,2021-11-24
890,156,76.8,false,2023-04-02
972,107,567.24,false,2024-09-03
946,74,1246.6,false,2020-04-04
630,349,1529.86,false,2023-03-19
517,8,46.18,false,2022-08-18
968,102,1643.78,true,2022-04-21
800,197,193.44,false,2023-06-24
835,365,1078.04,false,2024-04-27
773,49,1744.87,true,2019-02-24
518,150,57.22,false,2019-11-06
801,331,270.43,false,2023-02-16
599,468,1054.58,false,2022-12-25
779,195,1794.28,false,2019-05-05
563,213,1511.79,true,2022-10-18
740,323,1720.99,true,2021-11-24
838,365,85.66,false,2019-11-13
962,42,521.78,false,2024-08-13
1000,23,393.92,true,2022-01-14
618,129,1874.44,false,2019-03-11
954,287,899.72,false,2022-10-30
743,282,234.06,true,2024-09-03
537,184,1723.88,false,2022-07-17
621,37,301.51,true,2021-03-28
1001,382,987.32,false,2022-03-10
833,219,705.77,true,2021-10-18
893,335,1077.87,true,2020-01-03
552,222,1970.09,false,2020-10-25
665,7,140.03,true,2023-08-27
697,343,1697.18,true,2020-06-12
655,139,465.47,true,2020-03-30
559,377,895.11,false,2019-05-03
843,332,1675.73,false,2022-06-02
624,303,1152.56,false,2024-03-12
532,398,1140.12,false,2022-10-20
991,404,555.06,false,2019-09-07
706,494,198.9,false,2020-06-14
752,441,1451.91,true,2021-12-12
845,94,1835.71,true,2023-02-15
521,156,65.57,true,2019-04-11
866,217,1040.58,false,2020-07-12
752,140,864.21,false,2022-03-14
832,122,820.8,false,2022-06-05
894,303,401.85,true,2019-11-14
819,278,962.32,true,2022-12-26
895,163,293.91,true,2022-07-18
561,424,705.41,false,2020-01-15
624,382,1913.76,false,2024-11-30
511,394,751.29,true,2019-06-08
936,16,555.46,false,2021-08-05
548,260,1413.01,true,2019-11-04
585,348,545.72,false,2020-02-27
770,464,1064.55,false,2022-06-25
635,463,787.66,false,2019-12-11
711,94,344.55,false,2019-09-01
820,361,1088.89,false,2024-11-17
626,184,46.42,false,2024-01-30
814,362,1553.29,false,2023-07-12
867,226,1044.59,true,2019-04-21
849,430,1039.86,false,2024-04-14
795,61,141.65,true,2021-11-18
632,244,375.66,true,2021-12-04
567,191,1783.0,true,2020-05-24
808,113,669.54,false,2023-11-13
835,80,1396.33,true,2023-03-01
864,324,1917.4,false,2024-02-09
810,42,798.77,true,2020-02-20
509,291,1327.58,false,2020-12-10
957,274,1314.13,true,2023-01-25
930,259,408.8,false,2024-09-02
918,92,426.67,false,2020-06-19
911,306,849.74,false,2023-06-30
594,279,1797.54,true,2024-05-23
870,108,536.41,true,2022-10-18
951,65,190.05,false,2020-05-26
668,27,66.55,true,2022-12-23
683,51,1164.66,false,2023-04-06
987,246,1437.84,true,2021-05-10
727,375,1919.32,false,2022-06-02
936,97,1914.2,true,2018-12-26
588,296,1709.06,false,2023-10-08
889,339,1848.78,true,2022-07-01
746,172,1461.88,true,2024-06-25
519,372,1031.64,true,2024-02-21
744,69,630.44,false,2021-10-22
599,361,1028.3,true,2020-03-16
714,239,1981.72,true,2020-07-01
887,5,1150.67,true,2020-03-10
