"foodid","foodcategoryid","caloric_value","price","name"
335,1,14,"53.73","Macropus rufogriseus"
336,1,442,"22.06","Naja haje"
337,1,71,"193.37","Melophus lathami"
338,3,511,"53.54","Orcinus orca"
339,1,93,"72.06","Boa constrictor mexicana"
340,2,177,"166.11","Felis libyca"
341,1,116,"158.36","Eumetopias jubatus"
342,2,404,"50.85","Ursus maritimus"
343,1,500,"192.07","Eudyptula minor"
344,2,369,"66.19","Sula nebouxii"
345,3,466,"182.59","Naja haje"
346,3,910,"30.77","Fulica cristata"
347,1,248,"130.81","Vulpes chama"
348,1,333,"36.96","unavailable"
349,1,892,"8.16","Limnocorax flavirostra"
350,2,892,"85.4","Crotaphytus collaris"
351,2,140,"100.6","Plectopterus gambensis"
352,2,395,"52.65","Isoodon obesulus"
353,2,476,"118.7","Paradoxurus hermaphroditus"
354,2,667,"122.39","Naja nivea"
355,3,54,"11.07","Varanus salvator"
356,3,752,"176.41","Cercatetus concinnus"
357,2,989,"87.96","Corvus brachyrhynchos"
358,2,789,"110.62","Sarcophilus harrisii"
359,2,233,"53.18","unavailable"
360,1,7,"141.15","Naja haje"
361,3,666,"10.75","Bettongia penicillata"
362,3,446,"199.01","Cynomys ludovicianus"
363,2,92,"149.16","Laniarius ferrugineus"
364,1,615,"9.52","Ursus americanus"
365,2,480,"83.07","Balearica pavonina"
366,1,982,"61.36","Hystrix cristata"
367,3,126,"89.84","Psophia viridis"
368,3,305,"124.71","Pavo cristatus"
369,1,478,"195.91","Ursus arctos"
370,2,111,"27.16","Callipepla gambelii"
371,1,676,"11.53","Graspus graspus"
372,2,200,"129.85","Vulpes chama"
373,3,859,"88.74","Kobus vardonii vardoni"
374,2,130,"113.16","Upupa epops"
375,1,258,"156.46","Felis pardalis"
376,3,475,"198.97","Uraeginthus angolensis"
377,2,586,"41.45","Cordylus giganteus"
378,2,609,"20.04","Dasyurus viverrinus"
379,1,744,"105.05","Columba livia"
380,3,330,"117.52","Pycnonotus nigricans"
381,3,325,"11.27","Marmota monax"
382,1,504,"80.22","Tadorna tadorna"
383,2,367,"78.59","Coluber constrictor"
384,1,560,"196.64","Milvus migrans"
385,1,993,"80.44","Rhea americana"
386,2,16,"86.36","unavailable"
387,3,632,"199.37","Kobus defassa"
388,3,532,"28.99","Callorhinus ursinus"
389,1,286,"71.09","Alopex lagopus"
390,1,344,"29.24","Choriotis kori"
391,1,42,"138.14","Bettongia penicillata"
392,1,270,"80.51","Phoenicopterus chilensis"
393,2,528,"195.81","Aonyx cinerea"
394,2,728,"170.58","unavailable"
395,2,713,"118.26","Melophus lathami"
396,1,131,"159.31","Ploceus rubiginosus"
397,2,885,"76.93","Acanthaster planci"
398,2,62,"32.18","Nesomimus trifasciatus"
399,1,851,"34.91","Nasua narica"
400,3,503,"181.75","Actophilornis africanus"
401,1,798,"123.84","Grus antigone"
402,3,84,"175.5","Gorilla gorilla"
403,1,738,"48.39","Ara chloroptera"
404,3,107,"147.32","Pandon haliaetus"
405,3,308,"91.67","Alouatta seniculus"
406,3,145,"71.88","Otaria flavescens"
407,2,827,"121.07","Redunca redunca"
408,3,637,"10.33","Felis caracal"
409,1,687,"135.6","Sterna paradisaea"
410,2,669,"119.88","Bubulcus ibis"
411,1,326,"170.92","Colobus guerza"
412,2,874,"2.07","Neotoma sp."
413,2,212,"53.82","Larus novaehollandiae"
414,3,813,"16.66","Uraeginthus angolensis"
415,1,597,"136.91","Capra ibex"
416,2,697,"4.4","Phalacrocorax niger"
417,2,672,"164","Propithecus verreauxi"
418,1,124,"30.52","Boa constrictor mexicana"
419,3,576,"6.49","Trichoglossus chlorolepidotus"
420,3,807,"1.63","Herpestes javanicus"
421,3,956,"60.67","Felis silvestris lybica"
422,2,663,"24.19","Manouria emys"
423,1,879,"118.07","Bettongia penicillata"
424,3,130,"163.62","Ephippiorhynchus mycteria"
425,1,652,"154.69","Zalophus californicus"
426,2,709,"104.52","Pteronura brasiliensis"
427,1,284,"162.48","Gerbillus sp."
428,2,277,"79.51","Lophoaetus occipitalis"
429,1,733,"97.8","Ara ararauna"
430,3,19,"46.26","Felis silvestris lybica"
431,3,991,"174.68","Vulpes chama"
432,2,82,"146.41","Boa constrictor mexicana"
433,1,882,"123.55","Stercorarius longicausus"
434,1,577,"167.24","Choloepus hoffmani"
435,1,168,"78.71","Crotalus cerastes"
436,3,872,"73.24","Bubo sp."
437,3,906,"63.19","Lamprotornis nitens"
438,3,209,"52.93","Actophilornis africanus"
439,2,737,"9.92","Nyctanassa violacea"
440,2,572,"177.2","Gazella thompsonii"
441,1,251,"86.45","Vanellus sp."
442,2,452,"183.26","Bubalornis niger"
443,3,473,"5.36","Eunectes sp."
444,2,628,"133.66","Ourebia ourebi"
445,1,237,"53.72","Antilope cervicapra"
446,1,8,"170.25","Hystrix indica"
447,3,443,"39.67","Dasypus novemcinctus"
448,1,301,"39.76","Cynictis penicillata"
449,1,220,"48.38","Papio ursinus"
450,1,823,"21.45","Phalaropus lobatus"
451,1,82,"113.62","Ninox superciliaris"
452,2,520,"72.16","Cathartes aura"
453,3,167,"47.51","Bucephala clangula"
454,1,303,"178.35","Canis aureus"
455,1,404,"170.46","Grus antigone"
456,3,61,"81.18","Anser caerulescens"
457,3,968,"48.68","Lamprotornis nitens"
458,2,376,"108.66","Gyps bengalensis"
459,3,416,"3.94","unavailable"
460,1,983,"25.45","Sus scrofa"
461,3,851,"16.51","Felis silvestris lybica"
462,1,962,"113.98","Megaderma spasma"
463,2,676,"118.73","Columba livia"
464,3,427,"161.02","Pelecanus conspicillatus"
465,3,44,"43.23","Tachybaptus ruficollis"
466,3,383,"102.25","Phoenicopterus ruber"
467,1,175,"27.5","Falco peregrinus"
468,3,684,"53.13","Seiurus aurocapillus"
469,2,998,"148.02","Trichechus inunguis"
470,2,21,"139.54","Meles meles"
471,2,329,"13.13","Corvus albus"
472,3,702,"28.92","Boa caninus"
473,2,237,"63.38","Geococcyx californianus"
474,2,523,"58.49","Macaca mulatta"
475,1,399,"40.67","Canis aureus"
476,2,60,"188.81","Papio cynocephalus"
477,3,651,"162.05","Choloepus hoffmani"
478,2,571,"147.73","Antidorcas marsupialis"
479,2,671,"23.4","Macropus parryi"
480,1,113,"83.45","Lemur catta"
481,2,104,"41.17","Crocodylus niloticus"
482,2,262,"37.62","Thamnolaea cinnmomeiventris"
483,2,993,"132.63","Larus novaehollandiae"
484,1,307,"124.61","Macropus agilis"
485,1,481,"78.34","Semnopithecus entellus"
486,1,174,"53.52","Bassariscus astutus"
487,2,570,"69.78","Naja haje"
488,2,193,"143.14","Colobus guerza"
489,1,728,"46.64","Felis silvestris lybica"
490,1,956,"45.42","Hyaena brunnea"
491,2,694,"122.75","Meleagris gallopavo"
492,2,810,"56.57","Pseudoleistes virescens"
493,2,77,"23.31","Ramphastos tucanus"
494,2,193,"86.89","Uraeginthus bengalus"
495,3,966,"185.16","Dicrostonyx groenlandicus"
496,1,343,"26.28","Dusicyon thous"
497,3,183,"86.52","Procyon cancrivorus"
498,2,918,"134.24","Oryx gazella callotis"
499,3,500,"111.54","Macropus robustus"
500,1,400,"180.84","Cygnus buccinator"
501,2,637,"33.42","Anthropoides paradisea"
502,2,501,"84.94","unavailable"
503,3,774,"118.06","Eudromia elegans"
504,1,640,"159.2","Stercorarius longicausus"
505,1,315,"146.03","Crocodylus niloticus"
506,3,937,"28.9","Anas punctata"
507,2,791,"139.62","Turtur chalcospilos"
508,3,230,"101.37","Corythornis cristata"
509,3,432,"164.26","Macropus agilis"
510,2,802,"195.28","Panthera pardus"
511,3,865,"35.68","Marmota monax"
512,1,68,"185.1","Macropus robustus"
513,2,471,"49.18","Calyptorhynchus magnificus"
514,1,352,"21.64","Larus dominicanus"
515,1,917,"14.67","Pycnonotus nigricans"
516,3,554,"102.49","Ninox superciliaris"
517,1,784,"59.08","Oryx gazella"
518,3,645,"191.95","Heloderma horridum"
519,3,400,"80.39","Damaliscus lunatus"
520,2,406,"178.08","Panthera leo"
521,2,640,"159.06","Pseudocheirus peregrinus"
522,3,634,"99.8","Notechis semmiannulatus"
523,1,577,"35.16","Passer domesticus"
524,1,195,"59.84","Ara chloroptera"
525,3,769,"149.27","Acridotheres tristis"
526,2,478,"8.21","Herpestes javanicus"
527,1,740,"6.53","Acrantophis madagascariensis"
528,3,691,"63.15","Ursus americanus"
529,3,36,"190.03","Spizaetus coronatus"
530,1,457,"102.89","Microcebus murinus"
531,3,346,"87.26","Microcebus murinus"
532,3,667,"190.18","Lamprotornis nitens"
533,1,797,"27.82","Corvus brachyrhynchos"
534,2,848,"154.93","Chlamydosaurus kingii"
535,3,487,"65.07","Cathartes aura"
536,3,843,"20.8","Vulpes chama"
537,3,410,"27.03","Colaptes campestroides"
538,2,257,"136.9","Terrapene carolina"
539,1,660,"65.41","Dusicyon thous"
540,1,13,"16.06","Thalasseus maximus"
541,1,638,"76.24","Larus dominicanus"
542,2,138,"135.37","Spermophilus lateralis"
543,3,589,"163.93","Tadorna tadorna"
544,1,513,"159.12","Corvus brachyrhynchos"
545,1,705,"173.13","Branta canadensis"
546,1,753,"175.87","Pytilia melba"
547,1,851,"179.18","unavailable"
548,3,171,"184.16","Petaurus norfolcensis"
549,2,796,"161.93","Macropus rufus"
550,3,33,"131.77","Phascogale calura"
551,2,685,"17.46","Spermophilus armatus"
552,2,256,"73.5","Ctenophorus ornatus"
553,3,742,"21.96","Geochelone elegans"
554,2,437,"161.44","Bubulcus ibis"
555,3,618,"134.62","Platalea leucordia"
556,2,422,"103.37","Dicrurus adsimilis"
557,1,856,"59.96","Chlidonias leucopterus"
558,2,950,"91.96","Hystrix cristata"
559,2,174,"193.38","Phoeniconaias minor"
560,2,354,"194.41","unavailable"
561,3,208,"161.2","Kobus defassa"
562,2,236,"37","Vulpes vulpes"
563,2,125,"180.34","Castor fiber"
564,1,254,"181.26","Anthropoides paradisea"
565,2,743,"179.04","Procyon lotor"
566,2,763,"139.81","Laniarius ferrugineus"
567,3,654,"130.11","Butorides striatus"
568,2,25,"2.95","Ovis musimon"
569,3,227,"15.73","Rhea americana"
570,2,368,"111.26","Philetairus socius"
571,1,225,"41.82","Trachyphonus vaillantii"
572,2,311,"139.76","Hippotragus equinus"
573,2,973,"120.13","unavailable"
574,2,51,"98.25","Columba palumbus"
575,3,931,"192.43","Kobus leche robertsi"
576,3,161,"19.01","Loxodonta africana"
577,2,363,"169.03","Spermophilus lateralis"
578,3,961,"196.43","Macropus eugenii"
579,3,760,"70.54","Capreolus capreolus"
580,2,9,"138.36","Canis aureus"
581,1,240,"160.21","Spermophilus parryii"
582,2,819,"106.77","Sylvicapra grimma"
583,3,859,"176.02","Corythornis cristata"
584,3,217,"13.06","Tringa glareola"
585,1,153,"80.3","Merops nubicus"
586,1,76,"174.84","Potorous tridactylus"
587,3,440,"96.2","Carduelis uropygialis"
588,2,368,"102.86","Zonotrichia capensis"
589,3,607,"29.25","Dasyurus maculatus"
590,1,422,"146","Sylvicapra grimma"
591,3,434,"34.32","Pandon haliaetus"
592,2,392,"144.46","Herpestes javanicus"
593,1,42,"133.14","Hippotragus niger"
594,3,559,"64","Epicrates cenchria maurus"
595,2,959,"65.99","Felis pardalis"
596,2,995,"91.25","Vanellus sp."
597,3,747,"43.99","Alopex lagopus"
598,1,999,"137.56","Axis axis"
599,3,780,"37.45","Aonyx cinerea"
600,3,858,"23.18","Eubalaena australis"
601,3,923,"24.55","Bubalus arnee"
602,2,578,"58.8","Alopex lagopus"
603,2,638,"79.71","Buteo galapagoensis"
604,3,759,"80.93","Nyctea scandiaca"
605,1,209,"97.07","Kobus leche robertsi"
606,1,661,"122.8","Ceryle rudis"
607,1,469,"44.95","Felis chaus"
608,1,705,"96.15","Melursus ursinus"
609,1,303,"77.12","Lasiorhinus latifrons"
610,1,941,"84.06","Geochelone radiata"
611,1,950,"130.05","Haematopus ater"
612,1,39,"108.12","Panthera onca"
613,1,342,"129.69","Cebus apella"
614,1,536,"89.28","Coracias caudata"
615,2,183,"80.55","Butorides striatus"
616,3,63,"111.3","Ctenophorus ornatus"
617,1,768,"110.04","Sylvilagus floridanus"
618,1,83,"117.52","Smithopsis crassicaudata"
619,1,596,"148.15","Uraeginthus granatina"
620,3,503,"192.23","Callorhinus ursinus"
621,1,210,"168.73","Sus scrofa"
622,3,262,"25.41","Centrocercus urophasianus"
623,1,424,"102.8","Geochelone elephantopus"
624,3,200,"125.41","Felis concolor"
625,1,415,"164.38","Oxybelis fulgidus"
626,1,396,"12.74","Lybius torquatus"
627,1,545,"96.58","Hippotragus equinus"
628,2,39,"145.86","Speothos vanaticus"
629,2,997,"141.79","Rhea americana"
630,2,173,"27.42","Casmerodius albus"
631,1,879,"172.42","unavailable"
632,3,775,"7.6","Neophron percnopterus"
633,1,718,"120.76","Panthera pardus"
634,3,862,"55.35","Eudyptula minor"
635,1,327,"68.1","Coracias caudata"
636,3,756,"57.36","Vombatus ursinus"
637,3,223,"35.58","Helogale undulata"
638,3,111,"70.6","Gyps bengalensis"
639,3,514,"170.29","Vanellus armatus"
640,3,643,"9.83","Ictonyx striatus"
641,1,602,"162.79","Nesomimus trifasciatus"
642,2,528,"129.72","Uraeginthus angolensis"
643,1,379,"72.15","Notechis semmiannulatus"
644,1,867,"22.84","Hystrix indica"
645,3,129,"199.65","Corvus albicollis"
646,2,870,"172.69","Crotaphytus collaris"
647,3,476,"144.96","Spizaetus coronatus"
648,3,890,"73.33","Cervus canadensis"
649,1,382,"12.09","Manouria emys"
650,2,128,"62.28","Anas bahamensis"
651,2,544,"135.72","Chionis alba"
652,3,192,"148.09","Pytilia melba"
653,2,199,"182.55","Ephippiorhynchus mycteria"
654,2,135,"51.35","Fulica cristata"
655,3,614,"171.97","Sula dactylatra"
656,1,955,"138.77","Macaca nemestrina"
657,1,12,"123.26","Eira barbata"
658,1,374,"3.93","Cacatua tenuirostris"
659,1,889,"194.9","Fregata magnificans"
660,2,690,"13.87","Lophoaetus occipitalis"
661,3,13,"126.63","Spermophilus armatus"
662,3,304,"9.42","Panthera leo"
663,1,64,"9.53","Castor canadensis"
664,2,201,"3.26","Phalacrocorax varius"
665,3,974,"17.99","Meleagris gallopavo"
666,3,546,"162.94","Merops nubicus"
667,3,611,"64.11","Phoenicopterus ruber"
668,3,798,"11.86","unavailable"
669,2,791,"123.02","Boselaphus tragocamelus"
670,3,982,"138.19","Hymenolaimus malacorhynchus"
671,3,690,"43.38","Ateles paniscus"
672,3,918,"75.47","Nasua nasua"
673,1,812,"39.7","Petaurus norfolcensis"
674,3,789,"27.31","Ara ararauna"
675,1,79,"79.16","Alligator mississippiensis"
676,1,964,"141.85","unavailable"
677,3,858,"158.27","Ursus americanus"
678,3,790,"101.77","Cebus apella"
679,2,406,"45.67","Cynictis penicillata"
680,2,299,"93.22","Heloderma horridum"
681,1,81,"150.53","Macropus parryi"
682,1,130,"55.01","Choriotis kori"
683,1,790,"128.51","Varanus albigularis"
684,1,114,"76.4","Uraeginthus bengalus"
685,2,409,"193.21","Sula dactylatra"
686,1,490,"187.08","Ara chloroptera"
687,2,242,"129.2","Nyctereutes procyonoides"
688,2,516,"167.1","Columba livia"
689,3,602,"153.7","Macropus agilis"
690,1,715,"2.08","Lama guanicoe"
691,3,512,"102.52","Buteo jamaicensis"
692,2,512,"167.07","Lasiodora parahybana"
693,1,71,"188.7","Paraxerus cepapi"
694,1,813,"3.5","Mephitis mephitis"
695,2,837,"137.36","Phalacrocorax albiventer"
